,base_score,lr,reg_alpha,reg_lambda,test_accuracy,train_accuracy
55,0.4,0.1,0.8,0.8,0.9956201473223173,0.9994026879044301
56,0.5,0.1,0.8,0.8,0.9956201473223173,0.9995520159283225
57,0.6,0.1,0.8,0.8,0.9952219788970734,0.9994524639123942
58,0.4,0.1,0.8,1.0,0.9950228946844515,0.9994026879044301
59,0.5,0.1,0.8,1.0,0.9948238104718296,0.9996017919362867
60,0.6,0.1,0.8,1.0,0.9952219788970734,0.9994524639123942
61,0.4,0.1,1.0,0.0,0.9952219788970734,0.9992533598805375
62,0.5,0.1,1.0,0.0,0.9952219788970734,0.9993031358885017
63,0.6,0.1,1.0,0.0,0.9950228946844515,0.9993529118964659
64,0.4,0.1,1.0,0.2,0.9956201473223173,0.9992035838725735
65,0.5,0.1,1.0,0.2,0.9954210631096954,0.9993031358885017
66,0.6,0.1,1.0,0.2,0.9958192315349392,0.9994026879044301
67,0.4,0.1,1.0,0.5,0.9956201473223173,0.9991538078646093
68,0.5,0.1,1.0,0.5,0.9960183157475612,0.9993031358885017
69,0.6,0.1,1.0,0.5,0.9956201473223173,0.9993529118964659
70,0.4,0.1,1.0,0.8,0.9956201473223173,0.9992035838725735
71,0.5,0.1,1.0,0.8,0.9956201473223173,0.9993031358885017
72,0.6,0.1,1.0,0.8,0.9956201473223173,0.9993031358885017
73,0.4,0.1,1.0,1.0,0.9952219788970734,0.9992035838725735
74,0.5,0.1,1.0,1.0,0.9948238104718296,0.9992035838725735
75,0.6,0.1,1.0,1.0,0.9956201473223173,0.9991538078646093
76,0.4,0.01,0.0,0.0,0.9950228946844515,0.9975111996017919
77,0.5,0.01,0.0,0.0,0.9940274736213418,0.9967645594823296
78,0.6,0.01,0.0,0.0,0.9942265578339637,0.9973618715778995
79,0.4,0.01,0.0,0.2,0.9942265578339637,0.9967147834743654
80,0.5,0.01,0.0,0.2,0.9942265578339637,0.9967645594823296
81,0.6,0.01,0.0,0.2,0.9940274736213418,0.9963663514186162
82,0.4,0.01,0.0,0.5,0.9936293051960979,0.9957690393230463
83,0.5,0.01,0.0,0.5,0.9942265578339637,0.9963663514186162
84,0.6,0.01,0.0,0.5,0.9942265578339637,0.9970632155301145
85,0.4,0.01,0.0,0.8,0.9942265578339637,0.9967645594823296
86,0.5,0.01,0.0,0.8,0.9944256420465857,0.9963663514186162
87,0.6,0.01,0.0,0.8,0.9938283894087199,0.9959681433549029
88,0.4,0.01,0.0,1.0,0.9946247262592076,0.9968641114982578
89,0.5,0.01,0.0,1.0,0.9938283894087199,0.9957690393230463
90,0.6,0.01,0.0,1.0,0.9946247262592076,0.996913887506222
91,0.4,0.01,0.2,0.0,0.9940274736213418,0.9965156794425087
92,0.5,0.01,0.2,0.0,0.9940274736213418,0.9964161274265804
93,0.6,0.01,0.2,0.0,0.9944256420465857,0.9969636635141862
94,0.4,0.01,0.2,0.2,0.9938283894087199,0.9964161274265804
95,0.5,0.01,0.2,0.2,0.9938283894087199,0.9964161274265804
96,0.6,0.01,0.2,0.2,0.9942265578339637,0.9969636635141862
97,0.4,0.01,0.2,0.5,0.9946247262592076,0.996913887506222
98,0.5,0.01,0.2,0.5,0.9946247262592076,0.9968641114982578
99,0.6,0.01,0.2,0.5,0.9942265578339637,0.9968143354902936
100,0.4,0.01,0.2,0.8,0.9944256420465857,0.9968641114982578
101,0.5,0.01,0.2,0.8,0.9930320525582321,0.995370831259333
102,0.6,0.01,0.2,0.8,0.9940274736213418,0.9964161274265804
103,0.4,0.01,0.2,1.0,0.9946247262592076,0.9969636635141862
104,0.5,0.01,0.2,1.0,0.9942265578339637,0.9964161274265804
105,0.6,0.01,0.2,1.0,0.9944256420465857,0.9969636635141862
106,0.4,0.01,0.5,0.0,0.9944256420465857,0.9967645594823296
107,0.5,0.01,0.5,0.0,0.9940274736213418,0.9966650074664012
108,0.6,0.01,0.5,0.0,0.9946247262592076,0.997212543554007
109,0.4,0.01,0.5,0.2,0.9944256420465857,0.9968641114982578
110,0.5,0.01,0.5,0.2,0.9944256420465857,0.9967645594823296
111,0.6,0.01,0.5,0.2,0.9950228946844515,0.9970632155301145
112,0.4,0.01,0.5,0.5,0.9944256420465857,0.9968143354902936
113,0.5,0.01,0.5,0.5,0.9944256420465857,0.996615231458437
114,0.6,0.01,0.5,0.5,0.9944256420465857,0.996913887506222
115,0.4,0.01,0.5,0.8,0.9944256420465857,0.9963663514186162
116,0.5,0.01,0.5,0.8,0.9944256420465857,0.9967645594823296
117,0.6,0.01,0.5,0.8,0.9942265578339637,0.9968641114982578
118,0.4,0.01,0.5,1.0,0.9944256420465857,0.996615231458437
119,0.5,0.01,0.5,1.0,0.9946247262592076,0.9964659034345446
120,0.6,0.01,0.5,1.0,0.9946247262592076,0.9968143354902936
121,0.4,0.01,0.8,0.0,0.9942265578339637,0.9968143354902936
122,0.5,0.01,0.8,0.0,0.9948238104718296,0.9970134395221503
123,0.6,0.01,0.8,0.0,0.9948238104718296,0.9971129915380786
124,0.4,0.01,0.8,0.2,0.9946247262592076,0.9970134395221503
125,0.5,0.01,0.8,0.2,0.9952219788970734,0.9970632155301145
126,0.6,0.01,0.8,0.2,0.9942265578339637,0.9968641114982578
127,0.4,0.01,0.8,0.5,0.9944256420465857,0.9965156794425087
128,0.5,0.01,0.8,0.5,0.9946247262592076,0.9966650074664012
129,0.6,0.01,0.8,0.5,0.9942265578339637,0.9968143354902936
130,0.4,0.01,0.8,0.8,0.9948238104718296,0.9969636635141862
131,0.5,0.01,0.8,0.8,0.9942265578339637,0.9960179193628671
132,0.6,0.01,0.8,0.8,0.9946247262592076,0.9967147834743654
133,0.4,0.01,0.8,1.0,0.9940274736213418,0.9959681433549029
134,0.5,0.01,0.8,1.0,0.9942265578339637,0.9961174713787955
135,0.6,0.01,0.8,1.0,0.9926338841329883,0.9949726231956197
136,0.4,0.01,1.0,0.0,0.9944256420465857,0.9968143354902936
137,0.5,0.01,1.0,0.0,0.9952219788970734,0.9970134395221503
138,0.6,0.01,1.0,0.0,0.9952219788970734,0.9970632155301145
139,0.4,0.01,1.0,0.2,0.9952219788970734,0.9970632155301145
140,0.5,0.01,1.0,0.2,0.9948238104718296,0.9969636635141862
141,0.6,0.01,1.0,0.2,0.9944256420465857,0.9968641114982578
142,0.4,0.01,1.0,0.5,0.9944256420465857,0.9967147834743654
143,0.5,0.01,1.0,0.5,0.9942265578339637,0.9961174713787955
144,0.6,0.01,1.0,0.5,0.9944256420465857,0.9966650074664012
