model_id,base_score,lr,reg_alpha,reg_lambda,test_accuracy
324,0.6,2.5,0.2,0.5,0.7023691021302011
325,0.4,2.5,0.2,0.8,0.7005773442166037
326,0.5,2.5,0.2,0.8,0.7069480390205056
327,0.6,2.5,0.2,0.8,0.6967947441767868
328,0.4,2.5,0.2,1.0,0.2976308978697989
329,0.5,2.5,0.2,1.0,0.6946048178379455
330,0.6,2.5,0.2,1.0,0.7023691021302011
331,0.4,2.5,0.5,0.0,0.7023691021302011
332,0.5,2.5,0.5,0.0,0.7165040812263588
333,0.6,2.5,0.5,0.0,0.7023691021302011
334,0.4,2.5,0.5,0.2,0.7023691021302011
335,0.5,2.5,0.5,0.2,0.2976308978697989
336,0.6,2.5,0.5,0.2,0.7011745968544695
337,0.4,2.5,0.5,0.5,0.2980290662950428
338,0.5,2.5,0.5,0.5,0.7023691021302011
339,0.6,2.5,0.5,0.5,0.7007764284292256
340,0.4,2.5,0.5,0.8,0.3147521401552857
341,0.5,2.5,0.5,0.8,0.7013736810670914
342,0.6,2.5,0.5,0.8,0.6902249651602628
343,0.4,2.5,0.5,1.0,0.2976308978697989
344,0.5,2.5,0.5,1.0,0.6850487756320923
345,0.6,2.5,0.5,1.0,0.7023691021302011
346,0.4,2.5,0.8,0.0,0.2976308978697989
347,0.5,2.5,0.8,0.0,0.682858849293251
348,0.6,2.5,0.8,0.0,0.6967947441767868
349,0.4,2.5,0.8,0.2,0.6557833963766674
350,0.5,2.5,0.8,0.2,0.4399761098944854
351,0.6,2.5,0.8,0.2,0.6950029862631893
352,0.4,2.5,0.8,0.5,0.6932112283495919
353,0.5,2.5,0.8,0.5,0.7081425442962374
354,0.6,2.5,0.8,0.5,0.2976308978697989
355,0.4,2.5,0.8,0.8,0.7023691021302011
356,0.5,2.5,0.8,0.8,0.3053951821620545
357,0.6,2.5,0.8,0.8,0.7081425442962374
358,0.4,2.5,0.8,1.0,0.4093171411507068
359,0.5,2.5,0.8,1.0,0.30400159267370097
360,0.6,2.5,0.8,1.0,0.558630300617161
361,0.4,2.5,1.0,0.0,0.5106510053752737
362,0.5,2.5,1.0,0.0,0.604618753732829
363,0.6,2.5,1.0,0.0,0.5644037427831973
364,0.4,2.5,1.0,0.2,0.2976308978697989
365,0.5,2.5,1.0,0.2,0.4736213418275931
366,0.6,2.5,1.0,0.2,0.695998407326299
367,0.4,2.5,1.0,0.5,0.5743579534142943
368,0.5,2.5,1.0,0.5,0.7401951025283695
369,0.6,2.5,1.0,0.5,0.5106510053752737
370,0.4,2.5,1.0,0.8,0.7023691021302011
371,0.5,2.5,1.0,0.8,0.696197491538921
372,0.6,2.5,1.0,0.8,0.5395182162054549
373,0.4,2.5,1.0,1.0,0.2976308978697989
374,0.5,2.5,1.0,1.0,0.7017718494923353
375,0.6,2.5,1.0,1.0,0.7163049970137368
376,0.4,0.25,0.0,0.0,0.9948238104718296
377,0.5,0.25,0.0,0.0,0.9944256420465857
378,0.6,0.25,0.0,0.0,0.9944256420465857
379,0.4,0.25,0.0,0.2,0.9948238104718296
380,0.5,0.25,0.0,0.2,0.9944256420465857
381,0.6,0.25,0.0,0.2,0.9946247262592076
382,0.4,0.25,0.0,0.5,0.9950228946844515
383,0.5,0.25,0.0,0.5,0.9946247262592076
384,0.6,0.25,0.0,0.5,0.9948238104718296
385,0.4,0.25,0.0,0.8,0.9946247262592076
386,0.5,0.25,0.0,0.8,0.9944256420465857
387,0.6,0.25,0.0,0.8,0.9946247262592076
388,0.4,0.25,0.0,1.0,0.9946247262592076
389,0.5,0.25,0.0,1.0,0.9944256420465857
390,0.6,0.25,0.0,1.0,0.9942265578339637
391,0.4,0.25,0.2,0.0,0.9948238104718296
392,0.5,0.25,0.2,0.0,0.9946247262592076
393,0.6,0.25,0.2,0.0,0.9948238104718296
394,0.4,0.25,0.2,0.2,0.9944256420465857
395,0.5,0.25,0.2,0.2,0.9944256420465857
396,0.6,0.25,0.2,0.2,0.9944256420465857
397,0.4,0.25,0.2,0.5,0.9944256420465857
398,0.5,0.25,0.2,0.5,0.9946247262592076
399,0.6,0.25,0.2,0.5,0.9944256420465857
400,0.4,0.25,0.2,0.8,0.9944256420465857
401,0.5,0.25,0.2,0.8,0.9946247262592076
402,0.6,0.25,0.2,0.8,0.9944256420465857
403,0.4,0.25,0.2,1.0,0.9940274736213418
404,0.5,0.25,0.2,1.0,0.9946247262592076
405,0.6,0.25,0.2,1.0,0.9942265578339637
406,0.4,0.25,0.5,0.0,0.9944256420465857
407,0.5,0.25,0.5,0.0,0.9942265578339637
408,0.6,0.25,0.5,0.0,0.9948238104718296
409,0.4,0.25,0.5,0.2,0.9944256420465857
410,0.5,0.25,0.5,0.2,0.9942265578339637
411,0.6,0.25,0.5,0.2,0.9956201473223173
